color,word,ans,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stim.started,stim.stopped,cross.started,cross.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,sync.started,sync.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,green,r,0,0,0,0,5,23.636460166992000,None,21.6422760419955,23.653588749992200,r,1,0.8802909160003770,23.636460166992000,None,23.636460166992000,23.737348083988800,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,red,y,0,0,1,1,7,26.536541541994700,None,24.537681458998100,26.55295120899970,y,1,1.2487663329957300,26.536541541994700,None,26.536541541994700,26.636510249998500,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,0,2,2,10,29.786594041987000,None,27.803238291991900,29.80302608398780,g,1,0.7408106660004710,29.786594041987000,None,29.786594041987000,29.886994249987800,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,0,3,3,1,32.55360241699960,None,30.55532441700050,32.56951862499410,y,1,0.5206578740035180,32.55360241699960,None,32.55360241699960,32.65320454198810,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,yellow,b,0,0,4,4,14,35.08652120899930,None,33.10302095899530,35.10322683399140,b,1,0.5473152080085130,35.08652120899930,None,35.08652120899930,35.18627049999490,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,red,y,0,0,5,5,7,37.636364124991800,None,35.653498249987000,37.653076666989400,y,1,0.7151897909934630,37.636364124991800,None,37.636364124991800,37.73724408399720,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,green,r,0,0,6,6,5,40.35288745899740,None,38.37079695898870,40.38711479199990,r,1,0.7984023739991240,40.35288745899740,None,40.35288745899740,40.45307041698830,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,0,7,7,10,43.1537239169993,None,41.170045666993200,43.16984099999540,g,1,0.6390459579997700,43.1537239169993,None,43.1537239169993,43.25350987499410,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,green,r,0,0,8,8,5,45.80321037498650,None,43.81968216699900,45.820195749998700,r,1,0.669624375004787,45.80321037498650,None,45.80321037498650,45.90341333398830,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,0,9,9,1,48.48679404199360,None,46.5188533749897,48.52010158399940,y,1,0.5246174999920190,48.48679404199360,None,48.48679404199360,48.58664133399730,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,red,r,1,0,10,10,0,51.02015687499080,None,49.03665633399210,51.03746854199560,r,1,0.579343791003339,51.02015687499080,None,51.02015687499080,51.12000195898870,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,yellow,b,0,0,11,11,14,53.603542917000600,None,51.620934416991100,53.62022799999980,b,1,0.63635441599763,53.603542917000600,None,53.603542917000600,53.703856083986500,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,yellow,b,0,0,12,12,14,56.25306995899880,None,54.26977829200040,56.270389708995900,b,1,0.6794794160086890,56.25306995899880,None,56.25306995899880,56.353312249993900,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,green,b,0,0,13,13,15,58.9364212090004,None,56.961103708992600,58.96976683399410,b,1,0.5806932910054460,58.9364212090004,None,58.9364212090004,59.03643020898740,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,blue,b,1,0,14,14,3,61.519851249991900,None,59.537516749987800,61.536844709000400,b,1,0.4076052489981520,61.519851249991900,None,61.519851249991900,61.62001137499470,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,blue,g,0,0,15,15,12,63.93719433399380,None,61.953192583998300,63.953248083998900,g,1,0.6162303330056600,63.93719433399380,None,63.93719433399380,64.03670320899980,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,1,0,16,1,66.57001545898680,None,64.58701083398770,66.58651241699410,y,1,0.5170106239966120,66.57001545898680,None,66.57001545898680,66.669909291988,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
blue,red,b,0,1,1,17,13,69.0867587919929,None,67.10320591699570,69.1038119589939,b,1,0.6550616239983360,69.0867587919929,None,69.0867587919929,69.18646774999800,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,yellow,y,1,1,2,18,1,71.75324254199220,None,69.77059054200070,71.76988616699240,y,1,0.5594911660009530,71.75324254199220,None,71.75324254199220,71.85335783399930,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,blue,r,0,1,3,19,6,74.31997312499150,None,72.33744170899450,74.33680133399320,r,1,0.3800018320034720,74.31997312499150,None,74.31997312499150,74.42014212498910,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,green,y,0,1,4,20,8,76.70325804199090,None,74.72037483399620,76.71996512499750,b,0,0.6544185410020870,76.70325804199090,None,76.70325804199090,76.803972624999,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,red,r,1,1,5,21,0,79.37017562499390,None,77.38711674998920,79.38657758399500,r,1,0.6333854160038750,79.37017562499390,None,79.37017562499390,79.4699133749964,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,green,y,0,1,6,22,8,82.02008879199280,None,80.03703720899650,82.03663349999990,y,1,0.65246491599828,82.02008879199280,None,82.02008879199280,82.12011641699060,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
red,blue,r,0,1,7,23,6,84.68738274999490,None,82.70302004199770,84.7036624589964,r,1,1.0739551239967100,84.68738274999490,None,84.68738274999490,84.78668629199090,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,red,y,0,1,8,24,7,87.77010395898830,None,85.78709049998720,87.78675170899080,y,1,0.44022370799211800,87.77010395898830,None,87.77010395898830,87.86994187498930,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
green,red,g,0,1,9,25,10,90.2198428339907,None,88.23654974999950,90.23675658399590,g,1,0.40127312499680600,90.2198428339907,None,90.2198428339907,90.32020879199260,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
yellow,green,y,0,1,10,26,8,92.6370896249864,None,90.6535703749978,92.65430624999860,y,1,0.47076108200417400,92.6370896249864,None,92.6370896249864,92.73686224999260,g,1,2022_Mar_02_1342,hw_test,2021.2.3,60.000164760729100,
